Product ID,Product Name,Category,Price,Quantity,Supplier,Supplier Contact,Items
1450,someone,Men's Clothing,99.48,82,Brown Group,natalie89@example.net,Formal Shoe
1386,free,Women's Shoes,56.66,49,"Travis, Swanson and Aguilar",icarter@example.com,Wrist Watch
3267,pattern,Men's Accessories,81.49,96,"Calhoun, Lopez and Jackson",jasmineblack@example.org,Bracelet
4898,name,Men's Clothing,19.18,153,Neal-Cole,johnsmith@example.net,Formal Shoe
3362,land,Women's Clothing,93.02,40,Harris-Hardy,buchananjessica@example.net,Formal Shoe
7512,program,Women's Accessories,94.07,30,Diaz and Sons,nlawson@example.org,Wrist Watch
9365,wife,Men's Accessories,77.07,191,Gutierrez-Smith,seanwilliams@example.net,Wrist Watch
6911,difficult,Men's Accessories,51.6,34,Briggs-Nixon,richardsjoe@example.com,Pant & shirt
3998,on,Men's Accessories,33.7,153,"Austin, Patterson and Mcdonald",keith08@example.com,Pant & shirt
9267,subject,Women's Accessories,52.31,74,Mcfarland-Johnson,scastillo@example.org,Wrist Watch
1175,offer,Men's Shoes,71.25,75,Henry Ltd,margaret22@example.org,Formal Shoe
6139,interesting,Men's Clothing,39.48,106,Harper-Robinson,meghanmorgan@example.net,Wrist Watch
5972,treat,Women's Clothing,47.92,25,Madden-Wilson,nelsondaisy@example.com,Leggins
9538,two,Men's Accessories,28.39,20,"Estrada, Smith and Hartman",laura17@example.org,Formal Shoe
2016,born,Women's Clothing,49.15,164,"Smith, Mahoney and Williams",millercindy@example.com,Leggins
8695,side,Men's Shoes,86.01,92,Turner-White,brooksstephen@example.com,Leggins
2292,very,Women's Shoes,95.01,168,"Smith, Garcia and Stevens",kevin84@example.org,Leggins
3414,something,Men's Clothing,26.18,142,Bird LLC,gbond@example.net,Bracelet
2913,set,Women's Clothing,49.12,140,Mitchell-Kelley,seanbailey@example.org,Shoes
3732,admit,Men's Accessories,12.65,116,Morales Ltd,dkelly@example.org,Formal Shoe
7429,turn,Women's Shoes,87.63,197,Russell and Sons,ybraun@example.net,Wrist Watch
7843,again,Women's Shoes,98.06,85,Johns Inc,njames@example.org,Formal Shoe
2766,throw,Women's Accessories,93.43,77,Wilson PLC,marissa54@example.com,Bracelet
5141,recent,Women's Shoes,10.21,120,"Edwards, Lambert and Walsh",richard00@example.org,Wrist Watch
5093,around,Women's Accessories,40.45,18,"Rollins, Jacobson and Carr",cnelson@example.org,Pant & shirt
5193,note,Men's Shoes,68.91,187,Kelly Group,gsandoval@example.org,Pant & shirt
4542,time,Men's Accessories,69.85,26,Bryant LLC,orogers@example.com,Wrist Watch
1768,truth,Men's Accessories,22.49,144,Swanson PLC,turnerveronica@example.com,Bracelet
3378,card,Men's Clothing,17.7,65,Riley-King,kara79@example.com,Formal Shoe
