Product ID,Product Name,Category,Price,Quantity,Supplier,Supplier Contact,Items,Timestamp,Interaction Count
1054,soldier,Women's Clothing,30.64,33,Harris Group,ghickman@example.org,Wrist Watch,5/31/2021 13:32,958
2399,evening,Men's Clothing,43.07,14,Williams Ltd,davidchandler@example.com,Shoes,11/26/2021 10:20,669
1470,dream,Women's Clothing,92.8,138,Mckee PLC,smercado@example.org,Bracelet,4/6/2021 20:18,674
3646,admit,Women's Accessories,24.61,200,Vazquez-Lopez,alexanderderrick@example.com,Leggins,6/24/2023 03:30,802
3482,tree,Men's Accessories,69.85,171,Hunter-Fuentes,greenebrandon@example.org,Formal Shoe,11/22/2021 06:01,588
1796,member,Women's Accessories,22.55,61,"Arias, Russell and Manning",pauldouglas@example.com,Wrist Watch,10/22/2020 20:02,685
4696,type,Men's Clothing,20.18,113,"Wiley, Cox and Crawford",nicholas36@example.org,Pant & shirt,4/1/2023 14:58,980
5530,decision,Women's Accessories,71.38,112,Jones Inc,boydvalerie@example.org,Wrist Watch,9/26/2022 22:56,60
1242,popular,Men's Clothing,80.75,97,"Collins, Perez and Wang",jonescarol@example.com,Leggins,8/29/2021 11:45,78
2880,organization,Women's Accessories,84.71,46,"Nelson, Santiago and Phillips",petersonemily@example.com,Shoes,8/23/2023 08:32,28
2062,money,Men's Shoes,15.46,142,"Ramirez, Brown and Howard",scottanna@example.org,Pant & shirt,6/15/2023 21:20,264
5477,about,Men's Shoes,97.27,69,George Group,reneehall@example.com,Shoes,7/12/2020 05:05,352
8951,parent,Women's Clothing,18.04,131,Roth-Martin,faulknermark@example.com,Leggins,9/23/2020 17:55,845
1662,item,Men's Accessories,44.05,24,Lynn-Lee,wortiz@example.org,Leggins,12/12/2021 13:19,901
7783,ok,Men's Accessories,51.62,151,Wilson-Johnson,whardy@example.net,Bracelet,3/2/2021 07:52,101
7754,outside,Women's Accessories,15.73,187,Thompson and Sons,hansenbrad@example.com,Shoes,6/5/2021 17:55,345
9424,rather,Men's Accessories,68.55,57,"Lopez, Hays and Kennedy",mwilson@example.org,Pant & shirt,12/7/2022 07:40,331
3351,deal,Women's Clothing,38.92,133,"Campbell, Serrano and Martin",rkennedy@example.com,Shoes,10/11/2021 14:49,819
5560,minute,Women's Shoes,88.23,83,"Martin, Taylor and Barr",kathy99@example.com,Wrist Watch,11/12/2021 01:33,937
6486,least,Men's Clothing,50.06,74,Munoz-Garrett,duncanjennifer@example.org,Formal Shoe,3/12/2020 19:52,200
2040,professional,Men's Shoes,81.32,13,Houston-Jones,lisa13@example.com,Wrist Watch,11/3/2023 02:26,564
3202,property,Men's Shoes,17.24,148,Espinoza LLC,brandonwarner@example.com,Leggins,1/30/2022 17:03,128
1880,lawyer,Men's Clothing,94.16,82,Mcfarland-Stewart,cartermax@example.com,Leggins,5/3/2021 11:28,938
1246,practice,Women's Clothing,29.21,132,"Nelson, Hall and Nguyen",julie40@example.org,Wrist Watch,5/5/2020 03:39,845
1402,in,Women's Shoes,98.49,155,"Sanchez, Hardin and Rogers",paigepierce@example.org,Wrist Watch,12/4/2021 11:22,362
9022,impact,Men's Clothing,50.53,182,Ball-Paul,haroldchristensen@example.org,Bracelet,6/10/2023 07:27,601
6411,whom,Women's Clothing,52.23,92,Lee-Hopkins,becky81@example.com,Wrist Watch,7/9/2021 17:21,321
2574,position,Women's Accessories,30.16,128,Miller Inc,garzabenjamin@example.net,Pant & shirt,8/13/2020 05:06,380
5781,develop,Men's Accessories,14.49,94,Johnson-Martinez,moorecourtney@example.org,Wrist Watch,9/17/2020 14:29,310
4793,movement,Men's Accessories,17.2,81,Ray Group,lmurphy@example.org,Shoes,3/27/2022 09:25,638
1790,individual,Men's Accessories,35.92,17,"Martin, Fox and Wood",davidwelch@example.net,Bracelet,5/22/2023 01:01,804
6694,go,Men's Shoes,53.04,144,"Scott, Henry and Huang",kwatson@example.net,Wrist Watch,3/27/2022 07:37,213
1632,glass,Women's Shoes,97.24,62,"Walker, Riddle and Santiago",chaneyclaire@example.net,Formal Shoe,10/25/2023 19:17,148
5346,protect,Women's Accessories,21.85,78,Burton-Coleman,dominique40@example.org,Shoes,7/5/2020 02:42,871
8191,mean,Men's Accessories,50.23,26,"Snyder, Williams and Jackson",smithjoseph@example.com,Formal Shoe,2/19/2021 05:37,296
4004,most,Women's Clothing,69.37,147,"Meyer, Johnston and Lynn",fhunt@example.net,Leggins,3/30/2020 22:59,300
5357,history,Men's Shoes,75.52,88,Holmes-Jones,zacharymcconnell@example.org,Leggins,12/26/2021 20:23,908
7493,forget,Women's Clothing,34.17,108,Mclean Group,tpadilla@example.org,Formal Shoe,4/21/2022 12:51,747
9786,detail,Women's Accessories,20.03,65,Diaz Inc,joshuamcdonald@example.com,Pant & shirt,8/16/2021 02:43,759
2963,especially,Women's Shoes,77.71,147,"Obrien, Huang and Wiggins",barberrenee@example.org,Bracelet,11/30/2021 02:07,84
7399,loss,Men's Accessories,46.82,186,Perez-Moore,daniel18@example.net,Leggins,9/4/2021 11:00,704
1530,over,Women's Shoes,98.38,63,Reyes-Salazar,braytyler@example.org,Bracelet,7/29/2021 22:00,162
5889,west,Men's Clothing,53.1,160,Hopkins-Hall,phillipfry@example.com,Pant & shirt,3/1/2022 17:55,985
2830,seem,Men's Shoes,93.86,72,"Copeland, Marshall and Ramirez",andersonsharon@example.com,Shoes,11/1/2021 11:43,901
1420,notice,Women's Shoes,74.23,10,Lowe Group,brandon81@example.com,Pant & shirt,10/25/2022 22:09,232
2544,style,Men's Clothing,61.69,170,May-Gonzalez,douglas08@example.com,Pant & shirt,8/28/2022 06:31,364
2861,by,Men's Shoes,44.78,113,"Miller, Gonzalez and Anderson",brittany64@example.com,Bracelet,6/18/2022 09:32,48
4096,your,Men's Shoes,50.65,148,"Tapia, Baldwin and Aguilar",jamesmccoy@example.org,Bracelet,2/14/2022 15:10,717
8366,include,Men's Accessories,78.44,108,Davis PLC,taylorjason@example.net,Shoes,8/11/2023 03:48,495
8579,bank,Men's Clothing,74.35,94,"Espinoza, Jackson and Nelson",upierce@example.net,Formal Shoe,1/7/2023 08:45,642
9404,while,Men's Clothing,25.12,30,"Wright, Brown and Crosby",meganmurray@example.com,Shoes,11/11/2020 00:35,783
7215,team,Women's Accessories,57.85,65,"Morgan, English and Kennedy",mcurry@example.org,Pant & shirt,3/15/2021 06:03,13
4546,join,Women's Clothing,63.41,98,Nelson-Alvarado,mariadean@example.net,Formal Shoe,7/3/2023 15:27,448
4597,door,Men's Accessories,24.34,88,"Walker, Miller and Ford",mayermichael@example.org,Pant & shirt,6/20/2023 03:44,174
9275,happen,Men's Shoes,79.91,68,Thompson PLC,scottdorsey@example.org,Pant & shirt,2/21/2022 04:44,139
7789,receive,Men's Accessories,59.13,25,Wood-Powers,johnsonbilly@example.org,Formal Shoe,5/27/2020 10:50,463
3333,occur,Men's Accessories,44.43,122,"Acosta, Buck and Hess",charlesadriana@example.com,Pant & shirt,11/30/2023 23:16,625
1005,take,Men's Clothing,84.25,115,"Sanchez, Taylor and Alvarez",hensonsophia@example.net,Bracelet,6/8/2023 15:13,286
3090,eye,Women's Clothing,36.5,69,"Harrell, Casey and Browning",lori39@example.net,Shoes,2/3/2020 05:09,484
2101,follow,Men's Accessories,36.01,186,"Gray, Hill and Williams",kevinmcclure@example.net,Wrist Watch,7/16/2021 02:16,142
1755,standard,Women's Shoes,80.95,35,Reed-Richardson,idavis@example.org,Pant & shirt,12/5/2023 01:13,499
7593,health,Women's Clothing,48.1,18,"Johnston, Lewis and Morales",znichols@example.com,Shoes,8/18/2022 14:47,999
6027,building,Women's Clothing,65.64,180,Jackson Group,meghanmiles@example.com,Pant & shirt,10/5/2022 16:15,965
8062,fall,Men's Clothing,98.23,80,Ross-Gomez,matthewfranklin@example.net,Wrist Watch,5/21/2020 22:35,554
2526,successful,Men's Accessories,54.36,151,Miller Group,qhernandez@example.com,Pant & shirt,7/10/2022 22:21,101
1830,door,Men's Clothing,45.69,126,Ford-Robbins,ogonzalez@example.com,Bracelet,8/23/2023 13:28,487
